olasz;német;Io sorreggo un pomodoro.;Ich halte eine Tomate hoch.
olasz;német;Io vorrei due bicchieri di vino.;Ich hätte gerne zwei Gläser Wein.
olasz;német;Noi ci abboniamo al giornale.;Wir abonnieren die Zeitung.
német;olasz;die Kinder zeigen mich ihre Hüte;i bambini mi mostrano i loro cappelli
német;olasz;Sag ihr, dass wir sie lieben.;Dille che l'amiamo
német;angol;Bitte schön.;May I help you.
olasz;német;Questo mi sembra interessante!;Das scheint mir interessant zu sein!
olasz;német;Noi incontriamo gli insegnanti a casa.;Wir treffen die Lehrer zu Hause.
olasz;német;Il cuoco per cosa usa il formaggio?;Benutzt der Koch den Käse?
olasz;német;Monti a cavallo!;Steigen Sie auf das Pferd!
olasz;német;Loro mi mancano.;Ich vermisse sie.
olasz;német;Lui giace sul tavolo.;Er liegt auf dem Tisch.
olasz;német;Io resto finché tu hai bisogno di me.;Ich bleibe, solange du mich brauchst.
német;olasz;Viele Familien abonnieren die Zeitung.;Molte famiglie sono abbonate al giornale.
német;olasz;Sie zeigt die Lampe einem Kind.;Mostra la lampada a un bambino.
olasz;német;Tu che cosa ne pensi?;Was denkst du?
német;olasz;Schließen Sie alle Türen und Fenster!;Chiudi tutte le porte e le finestre!
német;olasz;Das Baby schläft, doch scheint es aktiv.;Il bambino sta dormendo, ma sembra attivo.
német;olasz;Du bist frei nach Hause zu gehen.;Sei libero di tornare a casa.
német;olasz;Die Katze stört den Hund beim Schlafen.;Il gatto disturba il cane mentre dorme.
angol;olasz;We work during the day and we rest at night.;Lavoriamo di giorno e riposiamo di notte.
olasz;angol;Spero che vengano con noi.;I hope they come with us.
angol;olasz;He has an old train conductor uniform.;Ha una vecchia uniforme da capotreno.
olasz;angol;riceve un paio di stivali per il suo compleanno;receives a pair of boots for his birthday
angol;olasz;He does not miss me.;Non gli manco.
olasz;angol;I nipoti non le mancano.;She doesn't lack grandchildren.
német;angol;Gern geschehen!;My pleasure!
német;olasz;Die Maus läuft um das Glas;Il topo gira intorno al bicchiere
olasz;német;il topo corre intorno a bicchiere;Die Maus läuft um das Glas
olasz;német;Nonostante le macchine noi dormiamo.;Trotz der Autos schlafen wir.
német;olasz;Mein Gastgeber isst alles außer Fleisch;Il mio ospite mangia tutto tranne la carne
olasz;német;? il padre di tre bambini.;Er ist Vater von drei Kindern.
olasz;német;Attraverso la porta.;Durch die Tür.
olasz;német;Il gatto ? accanto al topo.;Die Katze ist neben der Maus.
olasz;német;Lo vedo ogni tanto.;Ich sehe ihn ab und zu.
olasz;német;Dalle otto in poi siamo a casa.;Ab acht sind wir zu Hause.
olasz;német;Io vado a letto alle dieci.;Ich gehe um zehn Uhr ins Bett.
német;olasz;Das geht Sie nichts an.;Questo non ti riguarda.
német;angol;Du malst gut!;You paint well!
német;angol;Sag mir, dass du mich liebst.;Tell me that You Love Me.
német;angol;Wenn du meine Hose brauchst, nimm sie.;If you need my pants, take them.
angol;olasz;gave it to me;me l'ha dato
angol;német;what a shame!;Schade!
német;angol;Wohnst du allein oder hast du Mitbewohner?;Do you live alone or do you have roommates?
olasz;angol;Il sindacato crede che tutti abbiano gli stessi diritti.;The union believes that everyone has the same rights.
olasz;angol;Il suo unico desiderio era di vedere ancora suo figlio.;His only wish was to see his son again.
angol;olasz;here is my version;ecco la mia versione
angol;olasz;Here everything is in order.;Qui ? tutto in ordine.
olasz;angol;Chiunque tu sia.;Whoever you are.
német;angol;Egal, wer du bist.;No matter who you are
német;olasz;Das ist mir unbekannt.;Questo mi ? sconosciuto.
olasz;angol;Questa stanza ? calma.;This room is calm.
olasz;angol;Improvvisamente il cane mangia.;Suddenly the dog eats.
olasz;angol;Niente ? pi? leggero.;Nothing is lighter.
német;magyar;Wir laufen, obwohl wir müde sind.;Futunk, pedig fáradtak vagyunk.
német;angol;Wir laufen, obwohl wir müde sind.;We run even though we are tired.
angol;német;I'll meet my boss for lunch;Ich werde meinen Chef zum Mittagessen treffen
német;angol;Deine Katze isst oft Joghurt zum Frühstück.;Your cat often eats yogurt for breakfast.
német;angol;Triffst du deine Freunde lieber zu Hause?;Do you prefer to meet your friends at home?
olasz;angol;Gli piaceva la mia recensione.;He liked my review.
angol;olasz;He liked my review.;La mia recensione gli ? piaciuta.
olasz;angol;Ceniamo lungo la riva dell'acqua.;We have dinner along the water's edge.
olasz;angol;Tutto ? tranquillo.;Everything is quiet.
olasz;angol;All'improvviso ti vedo.;Suddenly I see you.
olasz;angol;Mia nonna metteva i funghi nel forno per qualche ora.;My grandmother used to put the mushrooms in the oven for a few hours.
olasz;angol;Le davamo sempre dei libri nuovi.;We always gave her new books.
angol;olasz;When I was in that country, I used to see a lot of cars.;Quando ero in quel paese, vedevo molte macchine.
olasz;angol;Mio figlio non dava mai da mangiare al suo gatto.;My son never fed his cat.
angol;olasz;My sister used to find every answer.;Mia sorella trovava ogni risposta.
olasz;angol;lei poteva fare di tutto;she could do anything
angol;olasz;They were his friends when he was young.;Erano suoi amici quando era giovane.
angol;német;They were his friends when he was young.;Sie waren seine Freunde, als er jung war.
angol;német;The schnitzel tastes really good!;Das Schnitzel schmeckt wirklich gut!
angol;német;Can you see us?;Kannst du uns sehen?
angol;német;Which languages does the child speak?;Welche Sprachen spricht das Kind?
olasz;angol;Lui ? andato via durante lo spettacolo.;He left during the show.
olasz;angol;Ci sono molte attivit? alla fiera.;There are many activities at the fair.
német;olasz;Sie geht weiter.;Lei va avanti.
német;olasz;Die guten Freunde kennen uns.;I buoni amici ci conoscono.
olasz;angol;non dirmi che fosse solo un atto;don't tell me it was just an act
olasz;angol;Penso che dobbiamo cambiare questo modo di vivere.;I think we need to change this way of life.
angol;olasz;He kept himself far from the lawyer.;Si ? tenuto lontano dall'avvocato.
olasz;angol;Lasciavano le loro scarpe alla porta.;They left their shoes at the door.
angol;olasz;They would leave their shoes at the door.;Avrebbero lasciato le scarpe alla porta.
olasz;angol;Tuo nonno non ti chiedeva tanto.;Your grandfather didn't ask for much.
angol;olasz;Your grandfather did not ask much of you.;Tuo nonno non ti ha chiesto molto.
angol;olasz;He used to talk to me every day.;Mi parlava tutti i giorni.
olasz;angol;Lui mi parlava ogni giorno.;He talked to me every day.
olasz;angol;Chi sapeva dove trovare una scimmia?;Who knew where to find a monkey?
angol;olasz;I was thinking of going into the city today.;Pensavo di andare in citt? oggi.
angol;olasz;get freaky;diventa pazzo
angol;olasz;I used to see many cars.;Vedevo molte macchine.
olasz;angol;Il contadino dava da mangiare al cavallo ogni giorno.;The farmer fed the horse every day.
olasz;angol;Ed ? ovvio che lei gli d? retta.;And it is obvious that she listens to him.
olasz;angol;Ovviamente lei non poteva mancare.;Obviously she could not miss it.
olasz;angol;Stavo meglio senza di te.;I was better off without you.
angol;olasz;I was better off without you.;Stavo meglio senza di te.
olasz;angol;Tanti uccelli venivano quando c'era pane.;Many birds came when there was bread.
angol;olasz;He was capable to eat.;Era in grado di mangiare.
olasz;angol;Era capace di mangiare.;He was able to eat.
angol;olasz;can i have this bag;posso avere questa borsa
olasz;angol;ho perocchio l'olio;I have a lot of oil
angol;olasz;I have a lot of oil;Ho molto petrolio
angol;olasz;I have nothing to lose;Non ho niente da perdere
olasz;angol;Purtroppo non ne ho voglia.;Unfortunately I don't feel like it.
angol;olasz;Mark and Peter, do you already have any plans?;Mark e Peter, avete gi? dei piani?
német;angol;Peter und Maria, wollt ihr campen gehen?;Peter and Maria, do you want to go camping?
angol;olasz;Peter and Anna do you often listen to Jazz;Peter e Anna ascoltate spesso Jazz
olasz;angol;Non tutte le recensioni erano positive.;Not all of the reviews were positive.
angol;olasz;I like the restaurants in this part of the city.;Mi piacciono i ristoranti in questa parte della citt?.
angol;német;I like the restaurants in this part of the city.;Ich mag die Restaurants in diesem Teil der Stadt.
angol;német;It is the worst beer in Germany!;Es ist das schlechteste Bier in Deutschland!
olasz;angol;? la peggiore birra della Germania!;It is the worst beer in Germany!
angol;olasz;we have dinner at the restaurant;ceniamo al ristorante
olasz;angol;ceniamo al ristorante;we have dinner at the restaurant
német;angol;Wer hat heute Geburtstag?;Who's birthday is today?
angol;német;Whose birthday is today?;Wessen Geburtstag ist heute?
angol;olasz;My daughter is still in front of the oven.;Mia figlia ? ancora davanti al forno.
angol;olasz;Go ahead alone!;Vai avanti da solo!
olasz;angol;Ricorda di mettere l'orologio avanti di un'ora, domani c'? l'ora legale.;Remember to put the clock forward one hour, tomorrow is daylight saving time.
olasz;angol;Mancano ancora tre chilometri all'uscita.;There are still three kilometers to go.
angol;olasz;We never go anywhere!;Non andiamo mai da nessuna parte!
angol;olasz;I have put down the telephone.;Ho messo gi? il telefono.
angol;olasz;You go ahead alone.;Vai avanti da solo.
angol;német;You go ahead alone.;Du gehst alleine voran.
angol;német;We are going to the movie theater in fifteen minutes.;Wir gehen in fünfzehn Minuten ins Kino.
német;angol;Ich möchte im Urlaub einen Zoo besuchen.;I want to visit a zoo while on vacation.
angol;német;I would like to visit a zoo on vacation.;Ich würde gerne einen Zoo im Urlaub besuchen.
olasz;angol;diventicato;become
olasz;német;siamo il corpo dei vigili del fuoco.;Wir sind die Feuerwehr.
angol;olasz;parents like lawyers;ai genitori piacciono gli avvocati
olasz;angol;Che cosa intendono gli esperti?;What do the experts mean?
olasz;angol;conosce il sindaco.;knows the mayor.
olasz;német;conosce il sindaco.;kennt den Bürgermeister.
olasz;német;i miei colleghi sono fantastici;Meine Kollegen sind großartig
olasz;német;La mia collaboratrice ? incavolata.;Mein Kollege ist sauer.
olasz;angol;La mia collaboratrice ? incavolata.;My co-worker is pissed off.
német;olasz;Die Arbeitgeber sind Freunde;I datori di lavoro sono amici
német;angol;Verwaltungsdirektor;Administrative Director
olasz;német;Il direttore amministrativo;Verwaltungsdirektor
német;olasz;Der Geschäftsführer;L'amministratore delegato
angol;olasz;our coach never sleeps;il nostro allenatore non dorme mai
német;olasz;Die Studentin liest.;La studentessa legge.
német;olasz;Der Senior;L'anziano
olasz;angol;Il signore anziano;The old gentleman
német;olasz;ich bin die zweite Doktorin;Sono il secondo dottore
német;olasz;Ist sie nicht Ärztin?;Non ? un dottore?
angol;német;The game lasts thirty minutes.;Das Spiel dauert 30 Minuten.
angol;olasz;The game lasts thirty minutes.;Il gioco dura trenta minuti.
angol;olasz;Take bus number eleven, not twelve.;Prendi l'autobus numero undici, non dodici.
német;angol;Fahren Sie mit Bus Nummer elf, nicht zwölf.;Take bus number eleven, not twelve.
angol;olasz;straight ahead twenty-five minutes;avanti dritto venticinque minuti
német;angol;fünfundzwanzig Minuten geradeaus;straight ahead twenty-five minutes
olasz;angol;Come si arriva alla stazione dei pullman?;How do you get to the bus station?
olasz;angol;ho preso l'autobus e ho perso il treno;I took the bus and missed the train
olasz;angol;bene, allora parliamo del miei aeroplani.;well, let's talk about my airplanes then.
angol;német;I would prefer to eat schnitzel;Ich würde lieber Schnitzel essen
angol;német;I would like to eat, but I'm not hungry;Ich würde gerne essen, aber ich habe keinen Hunger
olasz;angol;certe cose non cambiano mai.;some things never change.
olasz;angol;In Italia certe cose non cambiano mai.;In Italy some things never change.
angol;olasz;Which of you prefers English automobiles?;Chi di voi preferisce le automobili inglesi?
angol;olasz;I already know how to write in Chinese.;So gi? scrivere in cinese.
olasz;angol;La amavi oppure la odiavi?;Did you love her or did you hate her?
angol;olasz;Did you love her or did you hate her?;L'hai amata o l'hai odiata?
olasz;angol;Non ce l'avevo.;I didn't have it.
angol;olasz;He did not have an answer.;Non aveva una risposta.
olasz;angol;Perché ? dovuto succedere questo?;Why did this have to happen?
angol;olasz;How did she feel yesterday?;Come si ? sentita ieri?
angol;olasz;he did not remember his father;non si ricordava di suo padre
angol;olasz;What did he add?;Cosa ha aggiunto?
olasz;angol;Come si sentiva ieri?;How did you feel yesterday?
angol;olasz;Did you play in the garden?;Hai giocato in giardino?
angol;olasz;did you follow him to the palace?;l'hai seguito a palazzo?
olasz;angol;non me l'ha chiesto.;he didn't ask me.
angol;olasz;He did not want to eat.;Non voleva mangiare.
angol;olasz;I didn't use your spoon;Non ho usato il tuo cucchiaio
olasz;angol;Gli studenti non seppero la risposta.;The students did not know the answer.
angol;olasz;the students did not know the answer;gli studenti non conoscevano la risposta
angol;olasz;I did not use to drink beer;Non bevevo birra
angol;olasz;She did not answer.;Lei non ha risposto.
angol;olasz;what did you do to eat;cosa hai fatto da mangiare
olasz;angol;Io non ho sentito lei quella notte.;I didn't hear from her that night.
angol;olasz;I didn't eat cheese yesterday;Ieri non ho mangiato formaggio
olasz;angol;Loro non sono andati a scuola oggi.;They didn't go to school today.
olasz;német;Il tessitore ? incompetente.;Der Weber ist inkompetent.
olasz;angol;Il tessitore ? incompetente.;The weaver is incompetent.
angol;olasz;The developer likes the leader.;Allo sviluppatore piace il leader.
német;angol;Der Entwickler mag den Leiter.;The developer likes the leader.
olasz;német;un corpo dei vigili del fuoco.;eine Feuerwehr.
olasz;angol;un corpo dei vigili del fuoco.;a fire brigade.
angol;német;we have a fire department.;Wir haben eine Feuerwehr.
olasz;angol;abbiamo un corpo dei vigili del fuoco.;we have a fire department.
angol;olasz;Parents like the lawyers.;Ai genitori piacciono gli avvocati.
angol;olasz;I liked him, but did I love him?;Mi piaceva, ma lo amavo?
olasz;magyar;Lui non volle sapere nemmeno il mio nome.;Nem is akarta tudni a nevemet.
olasz;angol;Lui non volle sapere nemmeno il mio nome.;He didn't even want to know my name.
angol;magyar;I didn't want them to see me in there.;Nem akartam, hogy ott lássanak.
angol;olasz;I didn't want them to see me in there.;Non volevo che mi vedessero l? dentro.
olasz;angol;Non volevo che mi vedessero l? dentro.;I didn't want them to see me in there.
angol;olasz;We did not use to drink coffee.;Non bevevamo caff?.
angol;olasz;He did not even want to know my name.;Non voleva nemmeno sapere il mio nome.
olasz;angol;Io credo che non mi abbia voluto.;I think he didn't want me.
olasz;angol;credo che lei non mi voleva.;I think she didn't want me.
angol;olasz;she didn't want me.;lei non mi voleva.
angol;olasz;why didn't you tell me;perché non me l'hai detto
angol;olasz;what did she do on Sunday;cosa ha fatto domenica
angol;olasz;he did not answer me;lui non mi ha risposto
angol;olasz;Why haven't you told me?;Perché non me l'hai detto?
angol;olasz;did your mother make this;tua madre l'ha fatto
angol;olasz;They were not speaking in English.;Non parlavano in inglese.
olasz;angol;Non parlavano in inglese.;They didn't speak English.
olasz;angol;Perché non me l'hai detto?;Why did not you tell me?
angol;olasz;Did you like the beef?;Ti ? piaciuto il manzo?
olasz;angol;Quella sera io non ho sentito la campana della chiesa.;I didn't hear the church bell that night.
olasz;német;Io faccio colazione.;Ich frühstücke.
olasz;angol;Io faccio colazione.;I have breakfast.
olasz;német;Io la ringrazio.;Ich danke Ihnen.
olasz;angol;Lei é un principiante;You are a beginner
olasz;német;A noi piace Lei.;Wir mögen Sie.
olasz;angol;A noi piace Lei.;We like you.
angol;olasz;i like green mugs;mi piacciono le tazze verdi
angol;olasz;I eat some green rice;Mangio del riso verde
német;olasz;Der Knopf ist rot.;Il pulsante ? rosso.
olasz;német;il bottone é rosso;Die Taste ist rot
angol;olasz;the jackets are yellow;le giacche sono gialle
olasz;angol;La cantina ? nera.;The cellar is black.
angol;német;Too bad, there is a delay today.;Schade, es gibt heute eine Verspätung.
angol;olasz;Too bad, there is a delay today.;Peccato, oggi c'? un ritardo.
angol;olasz;Whose is the house in front of yours?;Di chi ? la casa davanti alla tua?
olasz;angol;La strada va verso nord da qui.;The road goes north from here.
olasz;angol;Si sente attraverso i muri;You can hear it through the walls
angol;olasz;It can be heard through the walls.;Pu? essere sentito attraverso i muri.
olasz;angol;Su quale strada posso cominciare?;Which road can I start on?
angol;olasz;I bring you the check right away.;Ti porto subito l'assegno.
olasz;angol;Le porto subito il conto.;I'll bring you the bill right away.
olasz;angol;Noi pensiamo, ad esempio, ai trasporti pubblici.;We are thinking, for example, of public transport.
angol;olasz;How do I get to the bus station?;Come faccio ad arrivare alla stazione degli autobus?
angol;olasz;Each year I find myself in a different place.;Ogni anno mi trovo in un posto diverso.
olasz;angol;Guidi davvero l'aereo?;Do you really drive the plane?
olasz;angol;I biglietti dove li vendono?;Where do they sell tickets?
angol;olasz;Where do they sell the tickets?;Dove vendono i biglietti?
olasz;angol;Ha anche lui un passaporto italiano?;Does he also have an Italian passport?
olasz;angol;? gi? passato l'autobus?;Has the bus already passed?
angol;olasz;Has the bus already come by?;? gi? arrivato l'autobus?
olasz;angol;Chi altro c'? sulla barca?;Who else is on the boat?
angol;olasz;I have never been to Europe.;Non sono mai stato in Europa.
angol;olasz;He also studies Chinese.;Studia anche cinese.
angol;olasz;I have never been to England.;Non sono mai stato in Inghilterra.
olasz;angol;Io non sono mai andato in Inghilterra.;I have never been to England.
német;angol;das Kaufhaus ist bis sieben geöffnet;the department store is open until seven
német;angol;Ich mag das Bett, aber ich mag die Couch nicht.;I like the bed, but I don't like the couch.
angol;német;the bear doesn't need a closet;Der Bär braucht keinen Schrank
angol;olasz;I want you to give me a piece of bread.;Voglio che tu mi dia un pezzo di pane.
angol;olasz;don't look in the box;non guardare nella scatola
angol;olasz;don't open the door;non aprire la porta
angol;olasz;Do I need to set the table?;Devo apparecchiare la tavola?
angol;olasz;I like to get coffee with a little milk.;Mi piace prendere un caff? con un po 'di latte.
angol;olasz;When does it rain?;Quando piove?
angol;olasz;I don't touch that dog;Non tocco quel cane
olasz;angol;Non mi permettono di dormire.;They don't let me sleep.
angol;olasz;They do not let me sleep.;Non mi lasciano dormire.
olasz;angol;Mio figlio vuole diventare avvocato.;My son wants to be a lawyer.
angol;olasz;My son wants to be a lawyer.;Mio figlio vuole fare l'avvocato.
német;angol;die Strecke ist kurz.;the route is short.
olasz;angol;Il percorso ? breve.;The path is short.
olasz;német;Io sono della Spagna.;Ich bin aus Spanien.
német;olasz;Ich bin aus Spanien.;Vengo dalla Spagna.
angol;olasz;The tour is free.;Il tour ? gratuito.
olasz;angol;La gita ? gratuita.;The tour is free.
német;olasz;Der Mietwagen, der da ist, ist schnell.;L'auto a noleggio che c'? ? veloce.
olasz;német;La macchina a noleggio che ? l? ? veloce.;Der Mietwagen, der dort drüben ist, ist schnell.
olasz;német;Io bevo del caff? sulla nave.;Ich trinke Kaffee auf dem Schiff.
olasz;német;Che cosa c'? con il nostro treno?;Was ist mit unserem Zug?
olasz;angol;Che cosa c'? con il nostro treno?;What's with our train?
angol;német;You would like to go to the museum, but you don't have money.;Sie möchten ins Museum gehen, haben aber kein Geld.
német;angol;Du möchtest ins Museum gehen, aber du hast kein Geld.;You want to go to the museum, but you have no money.
angol;olasz;the parents are responsible for the education of their own children;i genitori sono responsabili dell'educazione dei propri figli
angol;olasz;Parents are responsible for the education of their own children.;I genitori sono responsabili dell'educazione dei propri figli.
olasz;angol;Lo scorso anno ho finito le scuole superiori.;I finished high school last year.
